UserID,NroUSP,Type,CLGroup,CLRole,PlayerRole,ReB,ReA,UnB,UnA,ApB,ApC,ApA,AnC,EvB,EvA
10169,10377538,ont-gamified,Grupo Hefesto,Master,Yee Achiever,0.8,1,0.75,1,0.9166666666666666,0.375,1,0.5,0.6666666666666666,1
10170,10260351,ont-gamified,Grupo Afrodite,Apprentice,Yee Achiever,0.775,1,1,1,0.9166666666666666,0.5,1,1,0.5833333333333334,1
10171,698531,non-gamified,Grupo  Team 6,Apprentice,NA,1,1,1,1,1,1,1,1,1,1
10174,10276852,ont-gamified,Grupo Urano,Master,Yee Achiever,0.55,0.75,1,0.6111111111111112,0.9166666666666666,0.375,1,1,0.25,1
10175,10310700,ont-gamified,Grupo Hélio,Master,Yee Socializer,1,1,1,1,1,0.5,1,1,1,1
10176,10276949,ont-gamified,Grupo Cronus,Apprentice,Yee Achiever,1,1,1,1,1,0.5,1,0.9285714285714286,0.5833333333333334,0.3333333333333333
10178,8656201,ont-gamified,Grupo Morfeu,Apprentice,Yee Socializer,0.775,0.9166666666666666,1,1,0.9166666666666666,0.5,1,1,0.5833333333333334,1
10179,10310759,non-gamified,Grupo Team 9,Master,NA,1,1,1,1,1,1,1,1,0.5833333333333334,1
10181,10276866,non-gamified,Grupo Team 10,Master,NA,0.975,1,1,1,0.6666666666666666,0.5,1,1,0.5833333333333334,1
10183,10352030,ont-gamified,Grupo Hélio,Apprentice,Yee Socializer,1,1,0.75,1,0.75,0.375,1,0.9285714285714286,0.16666666666666666,1
10184,10276675,ont-gamified,Grupo Apolo,Master,Yee Socializer,1,1,0,1,1,1,1,1,1,1
10185,10276960,non-gamified,Grupo Team 12,Apprentice,NA,1,0.9833333333333333,0.75,1,1,1,1,1,1,1
10186,10310551,ont-gamified,Grupo Ares,Apprentice,Yee Achiever,1,1,1,1,1,1,1,1,0.6666666666666666,1
10187,9790781,non-gamified,Grupo Team 15,Apprentice,NA,0.775,0.9166666666666666,1,1,0.9166666666666666,0.5,1,1,0.5833333333333334,1
10188,10276995,non-gamified,Grupo Team 3,Master,NA,1,1,1,1,1,1,1,1,1,1
10189,9363926,ont-gamified,Grupo Hades,Master,Yee Socializer,1,0.9333333333333333,0,1,1,1,1,0.9285714285714286,0.25,1
10190,10276907,ont-gamified,Grupo Zeus,Apprentice,Yee Socializer,1,0.9,0,1,1,1,1,1,0,1
10191,10276981,non-gamified,Grupo  Team 6,Master,NA,1,1,1,0.6666666666666666,1,1,1,1,1,1
10192,10276682,non-gamified,Grupo Team 5,Apprentice,NA,1,1,1,1,1,0.5,1,1,1,1
10193,10276762,ont-gamified,Grupo Afrodite,Master,Yee Achiever,1,0.9666666666666667,0,1,1,1,1,0.9285714285714286,1,1
10195,10351971,ont-gamified,Grupo Urano,Apprentice,Yee Achiever,1,1,1,1,0.9166666666666666,0.5,1,0.42857142857142855,1,1
10196,10310655,ont-gamified,Grupo Hefesto,Apprentice,Yee Achiever,1,1,1,1,1,1,1,1,0.5833333333333334,1
10197,10276661,ont-gamified,Grupo Gaia,Apprentice,Yee Achiever,1,1,1,1,1,0.5,1,1,0.6666666666666666,1
10198,10310888,ont-gamified,Grupo Apolo,Apprentice,Yee Socializer,1,1,0.75,0.6666666666666666,1,0.5,1,1,0.5833333333333334,1
10199,10276737,ont-gamified,Grupo Gaia,Master,Yee Achiever,1,0.8,1,0.6666666666666666,1,1,0.3333333333333333,0.9285714285714286,1,0.3333333333333333
10200,9795272,ont-gamified,Grupo Hades,Apprentice,Yee Socializer,0.8,1,1,1,1,1,1,1,0.25,1
10201,10276928,ont-gamified,Grupo Caronte,Master,Yee Achiever,1,1,0.75,1,1,0.5,1,1,1,1
10202,10277036,non-gamified,Grupo Team 11,Apprentice,NA,1,0.9333333333333333,1,0.6666666666666666,0.6666666666666666,0.5,1,0.9285714285714286,0.5833333333333334,1
10203,9921470,non-gamified,Grupo Team 3,Apprentice,NA,0.575,0.5,0,1,0.8333333333333334,0.375,0.8333333333333334,0,0.16666666666666666,0.3333333333333333
10204,10310471,ont-gamified,Grupo Hermes,Master,Yee Achiever,1,1,1,1,1,0.5,1,0.9285714285714286,1,1
10206,10310721,ont-gamified,Grupo Hera,Master,Yee Achiever,1,0.9833333333333333,1,1,0.6666666666666666,0.375,1,1,1,1
10208,10276932,non-gamified,Grupo Team 7,Apprentice,NA,1,1,1,1,1,0.5,1,1,1,1
10209,10262669,ont-gamified,Grupo Artemis,Apprentice,Yee Achiever,1,0.9833333333333333,1,0.6666666666666666,1,1,1,1,1,1
10210,10277015,non-gamified,Grupo Team 9,Apprentice,NA,0.8,1,1,0.9444444444444444,0.75,0.5,1,0.9285714285714286,0.5833333333333334,1
10212,9065750,non-gamified,Grupo Team 4,Master,NA,0.6,1,1,1,1,0.5,1,1,1,1
10213,10277040,ont-gamified,Grupo Morfeu,Master,Yee Socializer,1,1,1,1,1,1,1,1,0.5833333333333334,1
10214,10277022,non-gamified,Grupo Team 5,Master,NA,1,1,1,0.6666666666666666,0.6666666666666666,1,1,1,0.6666666666666666,1
10215,9285227,ont-gamified,Grupo Zeus,Master,Yee Socializer,1,1,1,0.6666666666666666,1,1,1,0.9285714285714286,1,1
10216,10276720,non-gamified,Grupo Team 15,Master,NA,1,0.8,1,1,1,1,1,1,1,1
10217,9805341,non-gamified,Grupo Team 13,Master,NA,1,1,1,1,1,1,1,1,1,1
10218,9842913,ont-gamified,Grupo Ares,Master,Yee Achiever,0.8,1,1,1,0.75,1,1,1,1,1
10219,10276831,non-gamified,Grupo Team 12,Master,NA,1,1,1,1,1,0.375,1,1,0.5833333333333334,1
10220,9760151,non-gamified,Grupo Team 2,Apprentice,NA,1,0.9666666666666667,0,1,1,1,1,1,0.5833333333333334,1
10221,9082496,ont-gamified,Grupo Hermes,Apprentice,Yee Achiever,0.8,0.9333333333333333,0,0.2777777777777778,0.5833333333333334,0.375,1,1,0.5833333333333334,1
10222,9436110,non-gamified,Grupo Team 16,Master,NA,0.575,1,1,1,1,0.5,1,1,0.25,1
10223,9795185,ont-gamified,Grupo Cronus,Master,Yee Achiever,1,0.9333333333333333,1,1,1,1,1,0.9285714285714286,1,1
10224,9368772,non-gamified,Grupo Team 10,Apprentice,NA,0.55,0.8833333333333333,1,1,1,1,1,0.9285714285714286,1,1
10226,10310342,non-gamified,Grupo Team 8,Master,NA,1,0.9333333333333333,1,0.3333333333333333,1,1,1,1,1,1
10227,9274382,non-gamified,Grupo Team 4,Apprentice,NA,0.8,1,1,0.6666666666666666,1,1,1,1,0.6666666666666666,0
10230,10351992,non-gamified,Grupo Team 14,Master,NA,0.8,1,0.75,0.8888888888888888,0.9166666666666666,0.5,1,1,0.5833333333333334,1
10231,10276911,ont-gamified,Grupo Caronte,Apprentice,Yee Achiever,1,1,1,1,1,0.5,1,1,1,1
10232,10276974,ont-gamified,Grupo Artemis,Master,Yee Achiever,1,1,1,1,1,0,1,1,0.5833333333333334,1
10233,9805320,non-gamified,Grupo Team 16,Apprentice,NA,1,1,1,0.3333333333333333,0.9166666666666666,0.375,1,1,1,1
10234,10310676,non-gamified,Grupo Team 7,Master,NA,1,0.6,1,1,1,0.5,0.3333333333333333,0.42857142857142855,0.6666666666666666,0.3333333333333333
10237,10377688,non-gamified,Grupo Team 11,Master,NA,1,1,1,1,0.9166666666666666,1,1,0.42857142857142855,1,1
10238,10276953,non-gamified,Grupo Team 13,Apprentice,NA,1,0.9,0.75,1,1,0.5,1,0.9285714285714286,0.5833333333333334,1
10240,10276654,ont-gamified,Grupo Hera,Apprentice,Yee Achiever,1,0.9666666666666667,0,1,0.9166666666666666,1,1,1,0.5833333333333334,1
