NroUSP,UserID,Type,CLGroup,CLRole,PlayerRole,ReB,ReA,UnB,UnA,ApB,ApC,ApA,AnC,EvB,EvA
698531.0,10171.0,non-gamified,Grupo  Team 6,Apprentice,NA,40.0,60.0,4.0,18.0,12.0,8.0,6.0,14.0,12.0,6.0
8656201.0,10178.0,ont-gamified,Grupo Morfeu,Apprentice,Yee Socializer,31.0,55.0,4.0,18.0,11.0,4.0,6.0,14.0,7.0,6.0
9065750.0,10212.0,non-gamified,Grupo Team 4,Master,NA,24.0,60.0,4.0,18.0,12.0,4.0,6.0,14.0,12.0,6.0
9082496.0,10221.0,ont-gamified,Grupo Hermes,Apprentice,Yee Achiever,32.0,56.0,0.0,5.0,7.0,3.0,6.0,14.0,7.0,6.0
9274382.0,10227.0,non-gamified,Grupo Team 4,Apprentice,NA,32.0,60.0,4.0,12.0,12.0,8.0,6.0,14.0,8.0,0.0
9285227.0,10215.0,ont-gamified,Grupo Zeus,Master,Yee Socializer,40.0,60.0,4.0,12.0,12.0,8.0,6.0,13.0,12.0,6.0
9363926.0,10189.0,ont-gamified,Grupo Hades,Master,Yee Socializer,40.0,56.0,0.0,18.0,12.0,8.0,6.0,13.0,3.0,6.0
9368772.0,10224.0,non-gamified,Grupo Team 10,Apprentice,NA,22.0,53.0,4.0,18.0,12.0,8.0,6.0,13.0,12.0,6.0
9436110.0,10222.0,non-gamified,Grupo Team 16,Master,NA,23.0,60.0,4.0,18.0,12.0,4.0,6.0,14.0,3.0,6.0
9760151.0,10220.0,non-gamified,Grupo Team 2,Apprentice,NA,40.0,58.0,0.0,18.0,12.0,8.0,6.0,14.0,7.0,6.0
9790781.0,10187.0,non-gamified,Grupo Team 15,Apprentice,NA,31.0,55.0,4.0,18.0,11.0,4.0,6.0,14.0,7.0,6.0
9795185.0,10223.0,ont-gamified,Grupo Cronus,Master,Yee Achiever,40.0,56.0,4.0,18.0,12.0,8.0,6.0,13.0,12.0,6.0
9795272.0,10200.0,ont-gamified,Grupo Hades,Apprentice,Yee Socializer,32.0,60.0,4.0,18.0,12.0,8.0,6.0,14.0,3.0,6.0
9805320.0,10233.0,non-gamified,Grupo Team 16,Apprentice,NA,40.0,60.0,4.0,6.0,11.0,3.0,6.0,14.0,12.0,6.0
9805341.0,10217.0,non-gamified,Grupo Team 13,Master,NA,40.0,60.0,4.0,18.0,12.0,8.0,6.0,14.0,12.0,6.0
9842913.0,10218.0,ont-gamified,Grupo Ares,Master,Yee Achiever,32.0,60.0,4.0,18.0,9.0,8.0,6.0,14.0,12.0,6.0
9921470.0,10203.0,non-gamified,Grupo Team 3,Apprentice,NA,23.0,30.0,0.0,18.0,10.0,3.0,5.0,0.0,2.0,2.0
10260351.0,10170.0,ont-gamified,Grupo Afrodite,Apprentice,Yee Achiever,31.0,60.0,4.0,18.0,11.0,4.0,6.0,14.0,7.0,6.0
10262669.0,10209.0,ont-gamified,Grupo Artemis,Apprentice,Yee Achiever,40.0,59.0,4.0,12.0,12.0,8.0,6.0,14.0,12.0,6.0
10276654.0,10240.0,ont-gamified,Grupo Hera,Apprentice,Yee Achiever,40.0,58.0,0.0,18.0,11.0,8.0,6.0,14.0,7.0,6.0
10276661.0,10197.0,ont-gamified,Grupo Gaia,Apprentice,Yee Achiever,40.0,60.0,4.0,18.0,12.0,4.0,6.0,14.0,8.0,6.0
10276675.0,10184.0,ont-gamified,Grupo Apolo,Master,Yee Socializer,40.0,60.0,0.0,18.0,12.0,8.0,6.0,14.0,12.0,6.0
10276682.0,10192.0,non-gamified,Grupo Team 5,Apprentice,NA,40.0,60.0,4.0,18.0,12.0,4.0,6.0,14.0,12.0,6.0
10276720.0,10216.0,non-gamified,Grupo Team 15,Master,NA,40.0,48.0,4.0,18.0,12.0,8.0,6.0,14.0,12.0,6.0
10276737.0,10199.0,ont-gamified,Grupo Gaia,Master,Yee Achiever,40.0,48.0,4.0,12.0,12.0,8.0,2.0,13.0,12.0,2.0
10276762.0,10193.0,ont-gamified,Grupo Afrodite,Master,Yee Achiever,40.0,58.0,0.0,18.0,12.0,8.0,6.0,13.0,12.0,6.0
10276831.0,10219.0,non-gamified,Grupo Team 12,Master,NA,40.0,60.0,4.0,18.0,12.0,3.0,6.0,14.0,7.0,6.0
10276852.0,10174.0,ont-gamified,Grupo Urano,Master,Yee Achiever,22.0,45.0,4.0,11.0,11.0,3.0,6.0,14.0,3.0,6.0
10276866.0,10181.0,non-gamified,Grupo Team 10,Master,NA,39.0,60.0,4.0,18.0,8.0,4.0,6.0,14.0,7.0,6.0
10276907.0,10190.0,ont-gamified,Grupo Zeus,Apprentice,Yee Socializer,40.0,54.0,0.0,18.0,12.0,8.0,6.0,14.0,0.0,6.0
10276911.0,10231.0,ont-gamified,Grupo Caronte,Apprentice,Yee Achiever,40.0,60.0,4.0,18.0,12.0,4.0,6.0,14.0,12.0,6.0
10276928.0,10201.0,ont-gamified,Grupo Caronte,Master,Yee Achiever,40.0,60.0,3.0,18.0,12.0,4.0,6.0,14.0,12.0,6.0
10276932.0,10208.0,non-gamified,Grupo Team 7,Apprentice,NA,40.0,60.0,4.0,18.0,12.0,4.0,6.0,14.0,12.0,6.0
10276949.0,10176.0,ont-gamified,Grupo Cronus,Apprentice,Yee Achiever,40.0,60.0,4.0,18.0,12.0,4.0,6.0,13.0,7.0,2.0
10276953.0,10238.0,non-gamified,Grupo Team 13,Apprentice,NA,40.0,54.0,3.0,18.0,12.0,4.0,6.0,13.0,7.0,6.0
10276960.0,10185.0,non-gamified,Grupo Team 12,Apprentice,NA,40.0,59.0,3.0,18.0,12.0,8.0,6.0,14.0,12.0,6.0
10276974.0,10232.0,ont-gamified,Grupo Artemis,Master,Yee Achiever,40.0,60.0,4.0,18.0,12.0,0.0,6.0,14.0,7.0,6.0
10276981.0,10191.0,non-gamified,Grupo  Team 6,Master,NA,40.0,60.0,4.0,12.0,12.0,8.0,6.0,14.0,12.0,6.0
10276995.0,10188.0,non-gamified,Grupo Team 3,Master,NA,40.0,60.0,4.0,18.0,12.0,8.0,6.0,14.0,12.0,6.0
10277015.0,10210.0,non-gamified,Grupo Team 9,Apprentice,NA,32.0,60.0,4.0,17.0,9.0,4.0,6.0,13.0,7.0,6.0
10277022.0,10214.0,non-gamified,Grupo Team 5,Master,NA,40.0,60.0,4.0,12.0,8.0,8.0,6.0,14.0,8.0,6.0
10277036.0,10202.0,non-gamified,Grupo Team 11,Apprentice,NA,40.0,56.0,4.0,12.0,8.0,4.0,6.0,13.0,7.0,6.0
10277040.0,10213.0,ont-gamified,Grupo Morfeu,Master,Yee Socializer,40.0,60.0,4.0,18.0,12.0,8.0,6.0,14.0,7.0,6.0
10310342.0,10226.0,non-gamified,Grupo Team 8,Master,NA,40.0,56.0,4.0,6.0,12.0,8.0,6.0,14.0,12.0,6.0
10310471.0,10204.0,ont-gamified,Grupo Hermes,Master,Yee Achiever,40.0,60.0,4.0,18.0,12.0,4.0,6.0,13.0,12.0,6.0
10310551.0,10186.0,ont-gamified,Grupo Ares,Apprentice,Yee Achiever,40.0,60.0,4.0,18.0,12.0,8.0,6.0,14.0,8.0,6.0
10310655.0,10196.0,ont-gamified,Grupo Hefesto,Apprentice,Yee Achiever,40.0,60.0,4.0,18.0,12.0,8.0,6.0,14.0,7.0,6.0
10310676.0,10234.0,non-gamified,Grupo Team 7,Master,NA,40.0,36.0,4.0,18.0,12.0,4.0,2.0,6.0,8.0,2.0
10310700.0,10175.0,ont-gamified,Grupo Hélio,Master,Yee Socializer,40.0,60.0,4.0,18.0,12.0,4.0,6.0,14.0,12.0,6.0
10310721.0,10206.0,ont-gamified,Grupo Hera,Master,Yee Achiever,40.0,59.0,4.0,18.0,8.0,3.0,6.0,14.0,12.0,6.0
10310759.0,10179.0,non-gamified,Grupo Team 9,Master,NA,40.0,60.0,4.0,18.0,12.0,8.0,6.0,14.0,7.0,6.0
10310888.0,10198.0,ont-gamified,Grupo Apolo,Apprentice,Yee Socializer,40.0,60.0,3.0,12.0,12.0,4.0,6.0,14.0,7.0,6.0
10351971.0,10195.0,ont-gamified,Grupo Urano,Apprentice,Yee Achiever,40.0,60.0,4.0,18.0,11.0,4.0,6.0,6.0,12.0,6.0
10351992.0,10230.0,non-gamified,Grupo Team 14,Master,NA,32.0,60.0,3.0,16.0,11.0,4.0,6.0,14.0,7.0,6.0
10352030.0,10183.0,ont-gamified,Grupo Hélio,Apprentice,Yee Socializer,40.0,60.0,3.0,18.0,9.0,3.0,6.0,13.0,2.0,6.0
10377538.0,10169.0,ont-gamified,Grupo Hefesto,Master,Yee Achiever,32.0,60.0,3.0,18.0,11.0,3.0,6.0,7.0,8.0,6.0
10377688.0,10237.0,non-gamified,Grupo Team 11,Master,NA,40.0,60.0,4.0,18.0,11.0,8.0,6.0,6.0,12.0,6.0
