UserID,NroUSP,Type,CLGroup,CLRole,PlayerRole,ReB,UnB,ApC,ApA,AnC1,AnC2,EvB,PFs0,PFs1,PFs2,PFs3,PGs0,PGs1,PGs2,PGs3,PHs0,PHs1,PHs2,PHs3
10169.0,10377538.0,ont-gamified,Resistance,Apprentice,Social Achiever,56.0,65.0,8.0,14.0,6.0,0.0,8.0,1.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,4.0
10170.0,10260351.0,w/o-gamified,Grupo11,Apprentice,NA,39.0,51.0,8.0,0.0,7.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0
10172.0,10273971.0,w/o-gamified,Grupo5,Apprentice,NA,2.0,78.0,9.0,0.0,6.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,3.0,3.0
10174.0,10276852.0,w/o-gamified,Grupo7,Master,NA,38.0,51.0,0.0,0.0,0.0,12.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA
10175.0,10310700.0,ont-gamified,Warriors,Master,Social Achiever,56.0,78.0,18.0,14.0,14.0,0.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0
10176.0,10276949.0,ont-gamified,Outlaws,Master,Social Achiever,12.0,52.0,8.0,6.0,14.0,0.0,0.0,1.0,2.0,3.0,3.0,1.0,2.0,2.0,3.0,1.0,2.0,3.0,4.0
10178.0,8656201.0,ont-gamified,Outlaws,Apprentice,Social Achiever,48.0,24.0,0.0,0.0,13.0,5.0,7.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0
10179.0,10310759.0,w/o-gamified,Grupo10,Master,NA,48.0,52.0,0.0,6.0,0.0,6.0,0.0,1.0,1.0,2.0,2.0,NA,NA,NA,NA,NA,NA,NA,NA
10181.0,10276866.0,w/o-gamified,Grupo2,Apprentice,NA,56.0,65.0,0.0,14.0,7.0,0.0,0.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0
10183.0,10352030.0,w/o-gamified,Grupo3,Apprentice,NA,38.0,65.0,0.0,4.0,6.0,6.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10184.0,10276675.0,w/o-gamified,Grupo10,Apprentice,NA,56.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10185.0,10276960.0,w/o-gamified,Grupo9,Apprentice,NA,56.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,NA,NA,NA,NA,NA,NA,NA,NA
10186.0,10310551.0,ont-gamified,Slayers,Apprentice,Social Achiever,38.0,63.0,6.0,12.0,0.0,6.0,8.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0
10187.0,9790781.0,ont-gamified,Mafia,Apprentice,Social Achiever,56.0,24.0,0.0,0.0,5.0,5.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10188.0,10276995.0,ont-gamified,Vandals,Master,Yee Achiever,56.0,65.0,18.0,14.0,0.0,6.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10189.0,9363926.0,ont-gamified,Vikings,Apprentice,Social Achiever,20.0,77.0,0.0,0.0,0.0,0.0,18.0,1.0,2.0,2.0,3.0,NA,NA,NA,NA,NA,NA,NA,NA
10190.0,10276907.0,w/o-gamified,Grupo4,Apprentice,NA,2.0,52.0,0.0,6.0,0.0,7.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0
10191.0,10276981.0,w/o-gamified,Grupo1,Master,NA,38.0,77.0,0.0,0.0,0.0,6.0,8.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,3.0
10192.0,10276682.0,ont-gamified,Attractive Devils,Apprentice,Social Achiever,47.0,78.0,18.0,14.0,0.0,6.0,18.0,1.0,1.0,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA
10193.0,10276762.0,ont-gamified,Vandals,Apprentice,Yee Achiever,13.0,65.0,0.0,14.0,0.0,12.0,9.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
10197.0,10276661.0,w/o-gamified,Grupo8,Apprentice,NA,20.0,78.0,18.0,0.0,0.0,0.0,8.0,1.0,1.0,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA
10198.0,10310888.0,ont-gamified,Attractive Devils,Apprentice,Social Achiever,47.0,64.0,8.0,14.0,7.0,6.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0
10200.0,9795272.0,ont-gamified,Warriors,Apprentice,Social Achiever,47.0,78.0,8.0,0.0,0.0,6.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10201.0,10276928.0,w/o-gamified,Grupo11,Apprentice,NA,37.0,65.0,8.0,0.0,14.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
10202.0,10277036.0,ont-gamified,Silly Knights,Apprentice,Social Achiever,56.0,64.0,18.0,6.0,14.0,6.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10203.0,9921470.0,ont-gamified,Mercenaries,Apprentice,Social Achiever,11.0,50.0,0.0,6.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0
10204.0,10310471.0,w/o-gamified,Grupo6,Apprentice,NA,56.0,52.0,8.0,0.0,0.0,14.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0
10206.0,10310721.0,w/o-gamified,Grupo8,Apprentice,NA,38.0,77.0,7.0,6.0,14.0,6.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0
10209.0,10262669.0,ont-gamified,Mafia,Apprentice,Social Achiever,56.0,65.0,18.0,14.0,14.0,6.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
10210.0,10277015.0,w/o-gamified,Grupo6,Apprentice,NA,47.0,64.0,18.0,0.0,6.0,6.0,0.0,1.0,2.0,2.0,3.0,1.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0
10213.0,10277040.0,w/o-gamified,Grupo7,Apprentice,NA,56.0,78.0,0.0,0.0,0.0,5.0,8.0,1.0,2.0,3.0,4.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,3.0
10214.0,10277022.0,ont-gamified,Vikings,Apprentice,Social Achiever,21.0,52.0,8.0,14.0,14.0,12.0,0.0,1.0,1.0,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA
10215.0,9285227.0,ont-gamified,Vikings,Master,Social Achiever,20.0,78.0,0.0,14.0,7.0,0.0,0.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0,1.0,2.0,3.0,4.0
10216.0,10276720.0,ont-gamified,Silly Knights,Master,Social Achiever,56.0,65.0,0.0,6.0,14.0,14.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10217.0,9805341.0,w/o-gamified,Grupo9,Apprentice,NA,56.0,65.0,6.0,14.0,14.0,6.0,6.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0
10218.0,9842913.0,w/o-gamified,Grupo10,Apprentice,NA,56.0,78.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,1.0,2.0,3.0,4.0,NA,NA,NA,NA
10219.0,10276831.0,w/o-gamified,Grupo3,Master,NA,39.0,50.0,8.0,14.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,NA,NA,NA,NA,NA,NA,NA,NA
10220.0,9760151.0,w/o-gamified,Grupo3,Apprentice,NA,38.0,38.0,0.0,0.0,0.0,14.0,9.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10221.0,9082496.0,ont-gamified,Warriors,Apprentice,Social Achiever,29.0,39.0,0.0,0.0,0.0,6.0,0.0,1.0,2.0,3.0,3.0,1.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0
10223.0,9795185.0,ont-gamified,Slayers,Master,Social Achiever,20.0,52.0,0.0,6.0,14.0,12.0,8.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10226.0,10310342.0,w/o-gamified,Grupo4,Apprentice,NA,56.0,50.0,0.0,0.0,7.0,7.0,0.0,1.0,2.0,3.0,4.0,NA,NA,NA,NA,1.0,1.0,1.0,2.0
10227.0,9274382.0,w/o-gamified,Grupo5,Master,NA,0.0,65.0,0.0,8.0,8.0,8.0,10.0,NA,NA,NA,NA,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
10228.0,10310492.0,ont-gamified,Resistance,Apprentice,Social Achiever,21.0,39.0,0.0,6.0,7.0,0.0,0.0,1.0,2.0,2.0,3.0,NA,NA,NA,NA,NA,NA,NA,NA
10230.0,10351992.0,ont-gamified,Resistance,Master,Social Achiever,2.0,50.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA
10231.0,10276911.0,w/o-gamified,Grupo9,Master,NA,38.0,78.0,0.0,14.0,14.0,0.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
10232.0,10276974.0,w/o-gamified,Grupo7,Apprentice,NA,29.0,78.0,8.0,6.0,5.0,4.0,0.0,1.0,2.0,3.0,4.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0
10237.0,10377688.0,ont-gamified,Outlaws,Apprentice,Social Achiever,56.0,37.0,8.0,0.0,6.0,0.0,8.0,1.0,2.0,2.0,3.0,NA,NA,NA,NA,NA,NA,NA,NA
10238.0,10276953.0,w/o-gamified,Grupo2,Master,NA,38.0,64.0,0.0,0.0,14.0,6.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10240.0,10276654.0,w/o-gamified,Grupo5,Apprentice,NA,29.0,51.0,0.0,6.0,14.0,0.0,0.0,1.0,2.0,3.0,4.0,NA,NA,NA,NA,NA,NA,NA,NA
